RelativeTimeMilliseconds;ECG;ART;ART (Sys);ART (Dia);PPG
3600000;-0.12000;76.1250;126;73;0.52967
3600010;-0.12000;76.1250;126;73;0.55018
3600020;-0.12000;76.1875;126;73;0.56484
3600030;-0.12500;76.1875;126;73;0.57998
3600040;-0.13000;76.0000;126;73;0.61001
3600050;-0.13500;75.8750;126;73;0.61978
3600060;-0.13500;75.6250;126;73;0.62833
3600070;-0.13000;75.3750;126;73;0.63370
3600080;-0.13000;75.0625;126;73;0.63639
3600090;-0.12500;74.3125;126;73;0.63492
3600100;-0.12000;73.8750;126;73;0.63248
3600110;-0.12000;73.4375;126;73;0.62906
3600120;-0.11500;72.6250;126;73;0.62442
3600130;-0.11000;72.1875;126;73;0.61074
3600140;-0.10500;71.8125;126;73;0.60171
3600150;-0.10000;71.5000;126;73;0.59170
3600160;-0.08500;70.8125;126;73;0.58046
3600170;-0.05500;70.5000;126;73;0.55482
3600180;-0.03500;70.2500;126;73;0.54115
3600190;-0.02500;69.9375;126;73;0.52845
3600200;-0.02000;69.6875;126;73;0.51624
3600210;0.02000;69.2500;126;73;0.49011
3600220;0.05000;69.0000;126;73;0.47717
3600230;0.05000;69.0000;126;73;0.47717
3600240;0.05000;69.0000;126;73;0.47717
3600250;0.05000;69.0000;126;73;0.47717
3600260;-0.02500;67.8750;126;73;0.42637
3600270;-0.07500;67.6250;126;73;0.41954
3600280;-0.10000;67.4375;126;73;0.41343
3600290;-0.12000;67.0000;126;73;0.40488
3600300;-0.12500;66.7500;126;73;0.40073
3600310;-0.13500;66.5000;126;73;0.39683
3600320;-0.13500;66.0000;126;73;0.39292
3600330;-0.13000;65.7500;126;73;0.38559
3600340;-0.12000;65.5625;126;73;0.38193
3600350;-0.04000;65.3125;126;73;0.37802
3600360;0.38500;64.9375;126;73;0.37070
3600370;0.81000;64.8125;126;73;0.36703
3600380;0.89500;64.6250;126;73;0.36361
3600390;0.11500;64.5000;126;73;0.36068
3600400;-0.22000;64.3125;126;73;0.35824
3600410;-0.21000;64.0625;126;73;0.35214
3600420;-0.16500;63.8750;126;73;0.34896
3600430;-0.17000;63.7500;126;73;0.34603
3600440;-0.17000;63.3750;126;73;0.34286
3600450;-0.17000;63.2500;126;73;0.33651
3600460;-0.17000;63.0625;126;73;0.33358
3600470;-0.17000;62.9375;126;73;0.33040
3600480;-0.17000;62.5000;126;73;0.32454
3600490;-0.16500;62.3125;126;73;0.32234
3600500;-0.15500;62.1250;126;73;0.31966
3600510;-0.14500;61.9375;126;73;0.31673
3600520;-0.13500;61.7500;126;73;0.31355
3600530;-0.12500;61.4375;126;73;0.30696
3600540;-0.11500;61.2500;126;73;0.30354
3600550;-0.10500;61.1250;126;73;0.29988
3600560;-0.09000;61.0000;126;73;0.29597
3600570;-0.07500;60.7500;126;73;0.28767
3600580;-0.06500;60.7500;126;73;0.28352
3600590;-0.05500;61.0000;126;73;0.28034
3600600;-0.04000;61.6875;126;73;0.27766
3600610;-0.02000;64.9375;126;73;0.27082
3600620;-0.00500;67.5625;126;73;0.26716
3600630;0.01000;70.6875;126;73;0.27863
3600640;0.03500;77.7500;126;73;0.29768
3600650;0.06000;81.3750;126;73;0.30818
3600660;0.08000;84.8750;126;73;0.30818
3600670;0.10000;88.1875;126;73;0.30720
3600680;0.14000;93.9375;126;73;0.30574
3600690;0.16500;96.3125;126;73;0.30598
3600700;0.20500;98.1875;126;73;0.30574
3600710;0.24500;99.7500;126;73;0.30574
3600720;0.26500;100.9375;126;73;0.30574
3600730;0.28000;102.2500;126;73;0.30623
3600740;0.26500;102.5000;126;73;0.30647
3600750;0.23500;102.5625;126;73;0.30696
3600760;0.17500;102.4375;126;73;0.30745
3600770;0.09500;101.6250;126;73;0.30916
3600780;0.02500;101.0000;126;73;0.31038
3600790;-0.02500;100.3125;126;73;0.31258
3600800;-0.05500;99.4375;126;73;0.31526
3600810;-0.07000;97.4375;126;73;0.31966
3600820;-0.07000;97.4375;126;73;0.31966
3600830;-0.09500;95.0625;126;73;0.32357
3600840;-0.10000;93.8125;126;73;0.32576
3600850;-0.10500;90.9375;126;73;0.33138
3600860;-0.10500;89.3750;126;73;0.33675
3600870;-0.11500;87.8125;126;73;0.34505
3600880;-0.11500;86.1250;126;73;0.35678
3600890;-0.11500;82.9375;126;73;0.38608
3600900;-0.10500;81.5000;126;73;0.40757
3600910;-0.09500;80.3750;126;73;0.43346
3600920;-0.10000;79.4375;126;73;0.46300
3600930;-0.10000;78.3125;126;73;0.52796
3600940;-0.09500;78.0000;126;73;0.56117
3600950;-0.10000;77.7500;126;73;0.59365
3600960;-0.10000;77.5000;126;73;0.62466
3600970;-0.10000;77.5000;126;73;0.68010
3600980;-0.10000;77.4375;126;73;0.70403
3600990;-0.10500;77.3750;126;73;0.72210
3601000;-0.10000;77.2500;126;73;0.75043
3601010;-0.09500;77.0625;126;73;0.76337
3601020;-0.09000;76.8750;126;73;0.77436
3601030;-0.07500;76.6250;126;73;0.78339
3601040;-0.07500;76.3750;126;73;0.78999
3601050;-0.08000;75.7500;126;73;0.79780
3601060;-0.07500;75.3750;126;73;0.79878
3601070;-0.07500;75.0000;126;73;0.79805
3601080;-0.07500;74.6250;126;73;0.79536
3601090;-0.07500;73.8750;126;73;0.78437
3601100;-0.07500;73.5000;126;73;0.77680
3601110;-0.07500;73.1875;126;73;0.76801
3601120;-0.07000;72.8125;126;73;0.75751
3601130;-0.05500;72.1250;126;73;0.73162
3601140;-0.02500;71.8125;126;73;0.71673
3601150;-0.00500;71.5000;126;73;0.70085
3601160;0.00500;71.1875;126;73;0.68449
3601170;0.01000;70.5625;126;73;0.65177
3601180;0.05000;70.3125;126;73;0.63614
3601190;0.07500;70.0000;126;73;0.62247
3601200;0.07000;69.7500;126;73;0.61026
3601210;0.04000;69.1875;126;73;0.58681
3601220;0.00500;68.8750;126;73;0.57680
3601230;-0.02000;68.6250;126;73;0.56777
3601240;-0.07000;68.1250;126;73;0.55238
3601250;-0.09500;67.8125;126;73;0.54579
3601260;-0.11000;67.5625;126;73;0.53968
3601270;-0.11500;67.3750;126;73;0.53382
3601280;-0.10500;67.1875;126;73;0.52845
3601290;-0.09000;66.7500;126;73;0.51990
3601300;-0.08500;66.5625;126;73;0.51551
3601310;-0.07500;66.4375;126;73;0.51087
3601320;0.10500;66.1250;126;73;0.50183
3601330;0.55500;66.0000;126;73;0.49744
3601340;0.94000;65.8750;126;73;0.49328
3601350;0.75500;65.7500;126;73;0.48938
3601360;0.06000;65.5000;126;73;0.48132
3601370;-0.24000;65.3750;126;73;0.47717
3601380;-0.20500;65.3125;126;73;0.47277
3601390;-0.15500;65.1875;126;73;0.46886
3601400;-0.15500;64.8125;126;73;0.46129
3601410;-0.15500;64.6875;126;73;0.45665
3601420;-0.15000;64.5000;126;73;0.45201
3601430;-0.14500;64.2500;126;73;0.44713
3601440;-0.14000;64.0625;126;73;0.44225
3601450;-0.13500;63.5625;126;73;0.43272
