RelativeTimeMilliseconds;ECG;ART;ART (Sys);ART (Dia);PPG
10200000;-0.12000;119.1875;125;73;0.26447
10200010;-0.12500;117.6875;125;73;0.26447
10200020;-0.13000;116.0625;125;73;0.26447
10200030;-0.13500;114.1875;125;73;0.26447
10200040;-0.13000;109.9375;125;73;0.26569
10200050;-0.12500;107.5625;125;73;0.26813
10200060;-0.12000;105.1250;125;73;0.27253
10200070;-0.11500;102.8125;125;73;0.27961
10200080;-0.11500;100.6250;125;73;0.29011
10200090;-0.11000;97.2500;125;73;0.31648
10200100;-0.10500;96.0000;125;73;0.34237
10200110;-0.10000;95.0000;125;73;0.36850
10200120;-0.09500;93.6250;125;73;0.41319
10200130;-0.09000;93.2500;125;73;0.43932
10200140;-0.08500;92.9375;125;73;0.46593
10200150;-0.08500;92.7500;125;73;0.49182
10200160;-0.08500;92.3750;125;73;0.53773
10200170;-0.08500;92.1875;125;73;0.55727
10200180;-0.08000;91.9375;125;73;0.57192
10200190;-0.08000;91.6875;125;73;0.58339
10200200;-0.08000;91.0625;125;73;0.60464
10200210;-0.07500;90.7500;125;73;0.61343
10200220;-0.07500;90.3750;125;73;0.62051
10200230;-0.07500;89.9375;125;73;0.62564
10200240;-0.07500;89.5625;125;73;0.62930
10200250;-0.06500;88.6875;125;73;0.63150
10200260;-0.03500;88.2500;125;73;0.63028
10200270;-0.01500;87.7500;125;73;0.62759
10200280;0.01000;87.3125;125;73;0.62320
10200290;0.01000;86.3750;125;73;0.61050
10200300;0.03500;85.9375;125;73;0.60195
10200310;0.07000;85.5000;125;73;0.59145
10200320;0.08500;85.0625;125;73;0.57973
10200330;0.06000;84.1875;125;73;0.55287
10200340;0.02000;83.8125;125;73;0.53871
10200350;-0.01500;83.3750;125;73;0.52430
10200360;-0.05500;82.9375;125;73;0.51013
10200370;-0.09500;82.1875;125;73;0.48425
10200380;-0.12000;81.8125;125;73;0.47375
10200390;-0.12000;81.4375;125;73;0.46496
10200400;-0.12000;81.0625;125;73;0.45641
10200410;-0.11500;80.5000;125;73;0.44151
10200420;-0.11000;80.2500;125;73;0.43541
10200430;-0.10500;79.9375;125;73;0.42979
10200440;-0.03500;79.4375;125;73;0.42466
10200450;0.40500;79.1875;125;73;0.41514
10200460;0.84000;79.0000;125;73;0.41050
10200470;0.82500;78.8125;125;73;0.40610
10200480;0.26000;78.6250;125;73;0.40244
10200490;-0.23500;78.2500;125;73;0.39560
10200500;-0.24000;78.0625;125;73;0.39194
10200510;-0.17500;77.8125;125;73;0.38828
10200520;-0.16500;77.6250;125;73;0.38437
10200530;-0.16500;77.1875;125;73;0.37656
10200540;-0.16000;76.9375;125;73;0.37265
10200550;-0.15500;76.6875;125;73;0.36874
10200560;-0.15500;76.4375;125;73;0.36484
10200570;-0.14500;75.8750;125;73;0.35726
10200580;-0.14000;75.5000;125;73;0.35433
10200590;-0.13500;75.1875;125;73;0.35165
10200600;-0.13000;74.8750;125;73;0.34823
10200610;-0.12500;74.2500;125;73;0.34066
10200620;-0.11500;74.0000;125;73;0.33700
10200630;-0.10500;73.6875;125;73;0.33333
10200640;-0.09500;73.4375;125;73;0.32991
10200650;-0.08500;72.9375;125;73;0.32308
10200660;-0.08000;72.6875;125;73;0.31990
10200670;-0.07500;72.5000;125;73;0.31673
10200680;-0.06500;72.8750;125;73;0.31282
10200690;-0.05500;73.6875;125;73;0.31062
10200700;-0.03500;75.1875;125;73;0.30794
10200710;-0.01500;77.4375;125;73;0.30501
10200720;-0.00500;80.4375;125;73;0.30232
10200730;0.01000;88.0000;125;73;0.29719
10200740;0.04000;92.2500;125;73;0.29475
10200750;0.05500;96.6250;125;73;0.29231
10200760;0.08000;105.3125;125;73;0.29011
10200770;0.11000;109.2500;125;73;0.28620
10200780;0.13000;112.7500;125;73;0.28547
10200790;0.16000;115.8125;125;73;0.28523
10200800;0.16000;115.8125;125;73;0.28523
10200810;0.20000;122.1250;125;73;0.28230
10200820;0.19500;123.4375;125;73;0.28156
10200830;0.16500;124.5000;125;73;0.28083
10200840;0.11000;125.6875;125;73;0.27961
10200850;0.05000;125.8750;125;73;0.27863
10200860;0.01000;125.9375;125;73;0.27790
10200870;-0.03500;125.6875;125;73;0.27717
10200880;-0.07000;125.3125;125;73;0.27717
10200890;-0.09500;123.9375;125;73;0.27741
10200900;-0.10000;122.8750;125;73;0.27741
10200910;-0.11000;121.6875;125;73;0.27741
10200920;-0.11500;118.6875;125;73;0.27741
10200930;-0.11500;116.8750;125;73;0.27766
