RelativeTimeMilliseconds,ECG,ART,ART (Sys),ART (Dia),PPG
6003980,-0.14000,68.0000,110,64,0.56850
6003990,-0.17000,67.4375,110,64,0.55751
6004000,-0.17000,67.4375,111,64,0.55751
6004010,-0.18000,67.1875,111,64,0.55263
6004020,-0.18000,66.6250,111,64,0.54286
6004030,-0.18000,66.3750,111,64,0.53822
6004040,-0.18000,66.0625,111,64,0.53455
6004050,-0.18000,65.7500,111,64,0.53138
6004060,-0.18000,65.1250,111,64,0.52332
6004070,-0.17000,64.8750,111,64,0.51917
6004080,-0.17000,64.7500,111,64,0.51502
6004090,-0.15500,65.5625,111,64,0.50232
6004100,-0.15000,67.2500,111,64,0.49792
6004110,-0.15000,67.2500,111,64,0.49792
6004120,-0.14500,70.2500,111,64,0.49353
6004130,-0.13000,84.9375,111,64,0.48181
6004140,-0.11500,89.3750,111,64,0.47766
6004150,-0.11500,89.3750,111,64,0.47766
6004160,-0.09000,95.3125,111,64,0.46838
6004170,-0.07500,98.4375,111,64,0.46007
6004180,-0.07500,98.4375,111,64,0.46007
6004190,-0.02500,101.1250,111,64,0.45275
6004200,0.00000,102.6250,111,64,0.44933
6004210,0.00000,102.6250,111,64,0.44933
6004220,0.03000,105.9375,111,64,0.44249
6004230,0.09000,109.0000,111,64,0.43663
6004240,0.09000,109.0000,111,64,0.43663
6004250,0.11000,110.3125,111,64,0.43492
6004260,0.10000,112.1875,111,64,0.42979
6004270,0.07000,112.8125,111,64,0.42711
6004280,-0.01000,113.5000,111,64,0.42198
6004290,-0.01000,113.5000,111,64,0.42198
6004300,-0.04000,113.6875,111,64,0.41636
6004310,-0.07500,113.3125,111,64,0.41001
6004320,-0.07500,113.3125,111,64,0.41001
6004330,-0.08500,112.9375,111,64,0.40708
6004340,-0.08500,111.3125,111,64,0.40195
6004350,-0.08500,111.3125,111,64,0.40195
6004360,-0.08500,110.5000,111,64,0.39976
6004370,-0.08500,109.5625,111,64,0.39756
6004380,-0.09000,107.2500,111,64,0.39658
6004390,-0.08500,105.6875,111,64,0.39976
6004400,-0.08500,103.6875,111,64,0.40635
6004410,-0.08500,101.4375,111,64,0.41685
6004420,-0.08500,94.5000,111,64,0.46984
6004430,-0.08500,92.9375,111,64,0.48962
6004440,-0.08000,91.8125,111,64,0.50891
6004450,-0.08000,91.8125,111,64,0.50891
6004460,-0.07500,90.4375,111,64,0.55165
6004470,-0.07500,89.8125,111,64,0.57192
6004480,-0.07500,89.2500,111,64,0.59072
6004490,-0.06500,87.2500,111,64,0.63639
6004500,-0.06500,87.2500,111,64,0.63639
6004510,-0.06500,85.8125,111,64,0.66056
6004520,-0.06500,85.8125,111,64,0.66056
6004530,-0.07000,83.8125,111,64,0.68669
6004540,-0.07000,83.8125,111,64,0.68669
6004550,-0.07000,83.2500,111,64,0.69402
6004560,-0.07000,82.1250,111,64,0.70891
6004570,-0.07000,82.1250,111,64,0.70891
6004580,-0.06500,81.1250,111,64,0.72796
6004590,-0.05000,80.1875,111,64,0.75287
6004600,-0.05000,80.1875,111,64,0.75287
6004610,-0.01500,78.8125,111,64,0.76850
6004620,-0.01500,78.8125,111,64,0.76850
6004630,-0.00500,78.3750,111,64,0.77070
6004640,0.00000,77.9375,111,64,0.77143
6004650,0.00000,77.5000,111,64,0.77143
6004660,-0.02500,76.1875,111,64,0.76679
6004670,-0.02500,76.1875,111,64,0.76679
6004680,-0.06500,75.2500,111,64,0.75775
6004690,-0.08500,74.3750,111,64,0.74383
6004700,-0.08500,74.3750,111,64,0.74383
6004710,-0.08000,73.5625,111,64,0.72625
6004720,-0.08000,73.5625,111,64,0.72625
6004730,-0.10000,72.3750,111,64,0.69988
6004740,-0.07500,72.0000,111,64,0.69158
6004750,-0.07500,72.0000,111,64,0.69158
6004760,0.62000,71.3750,111,64,0.67473
6004770,0.62000,71.3750,111,64,0.67473
6004780,1.04000,70.7500,111,64,0.65812
6004790,0.99000,70.4375,111,64,0.64982
6004800,0.50500,70.1250,111,64,0.64176
6004810,-0.08500,69.1250,111,64,0.61856
6004820,-0.08500,69.1250,111,64,0.61856
6004830,-0.14500,68.7500,111,64,0.61123
6004840,-0.18500,68.1875,111,64,0.59927
6004850,-0.18500,68.1875,111,64,0.59927
6004860,-0.19000,67.6250,111,64,0.58681
6004870,-0.18500,67.1250,111,64,0.57460
6004880,-0.18000,66.8750,111,64,0.56825
6004890,-0.18000,66.2500,111,64,0.55629
6004900,-0.18000,66.2500,111,64,0.55629
6004910,-0.18000,66.0000,111,64,0.55067
6004920,-0.18000,65.5625,111,64,0.53895
6004930,-0.18000,65.8750,111,64,0.52991
6004940,-0.18000,65.8750,111,64,0.52991
6004950,-0.16000,68.7500,111,64,0.51966
6004960,-0.16000,68.7500,111,64,0.51966
6004970,-0.16000,72.2500,111,64,0.51429
6004980,-0.14500,87.5625,111,64,0.49792
6004990,-0.14500,87.5625,111,64,0.49792
6005000,-0.12500,91.8750,110,64,0.49280
6005010,-0.09500,99.2500,110,64,0.47595
6005020,-0.09500,99.2500,110,64,0.47595
